"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44015289648235","4.11378601687824","4.34788267393324","2.70145517737713","1.33378957631486","2.76131807486491","6.67774192215362","5.51748387424238","5.97317782491427","5.21907775202182","1.62837065746781","1.2037118516898","0.571191382242137","1.29706252487835","1.55912646166942","","","","",
"Australia","AUS","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","0.438468284127448","0.390067356992058","0.408251323497685","0.702829591937139","0.751084566113468","0.575741801145237","0.405174797174263","0.272440493260683","0.27606220700945","0.155813418362315","0.262003759184371","0.359579080958172","0.313137231923122","1.16935912989805","1.23157348503777","1.25525502399546","0.895519623640977","0.868898126183377","0.96203835280021","0.948764772433957","1.0034584874976","0.86316558705184","0.768236491448055","0.877737495627488","0.821078129412679","0.775269183185033","0.788475370559618","0.364310480299322","0.181430532080217","0.180911110921923","0.323101348510431","0.311630370159425","0.403852525240783","0.724695881704278","0.825634541472042","0.802196941422575","0.830627938050772","0.96050073829653","1.1291076216304","0.981884701025796","0.924438802779262","0.5857034634998","0.832948985321248","0.902551122360621","0.841947838158982","","",
"Austria","AUT","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","1.7021997207973","1.56255673403672","1.40325144505658","1.58523663046218","1.42862327147993","1.40975290195079","1.33507047737849","1.43666022928999","1.49015887251136","1.49296835880568","1.44342306390471","1.40487614201355","1.38130408579953","1.3074568172658","1.31680733007449","1.01410503641707","0.976701797955828","0.999965843191873","0.899239083982311","0.866863800003186","0.794884093651885","0.763180468640232","0.744989157168773","1.49672652119445","1.40391018165356","1.26418634304446","1.26590420888856","1.24207152120931","1.17672928274461","1.20794423926748","1.18495044572255","1.12544738807653","1.15664539947594","1.66717288196325","1.52271758609044","1.86239446672571","2.01030147169182","1.9482091660851","1.91697006089694","1.82532630167105","1.69686753969145","1.77632566063063","1.62503675735212","1.6760216174968","1.76544420483485","","",
"Azerbaijan","AZE","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.57368561515879","1.30279313900084","0.906060162482617","2.95714150017414","4.44402720455734","3.56439299621202","","","","","","","","","11.2277388557249","10.2405797508532","10.5173672436124","14.1595944856188","13.1377674508665","14.6027981162559","13.1726146802205","12.1454578889298","","","",
"Burundi","BDI","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.64705660270508","4.27792560966088","3.83194386528082","3.09086469609723","4.03698005319791","3.29494488787533","0.982497082847141","1.34495752123938","1.36945542380325","","","","","","","","","","","26.9345997896081","21.0176575278042","12.5071230996402","11.4678557377049","","","","","",
"Belgium","BEL","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.379555779861428","0.402468436027385","0.392045447002173","0.360826237069789","0.372482864232309","0.34830494690615","0.288086312269459","0.259902110445854","0.25877761718674","0.24039974450204","0.219564095122396","-0.0663376620673167","0.279740363346267","0.391000658352019","0.41450067105127","0.346370382949352","0.401734289300916","0.415432150856219","0.350104679667982","0.244589289963665","0.220063589091144","0.238645246400566","","",
"Benin","BEN","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.53697765562172","5.0536402066698","6.59357652656622","5.6402076530185","5.14947122898413","2.39050624508163","1.44322882275428","3.56898650799912","6.61290669091669","3.54222619100863","3.38633047713712","2.43099647151678","2.26122322671913","","","","","",
"Burkina Faso","BFA","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.98726810944116","9.36895784194483","11.3021105920936","11.2104157066778","11.8671272722998","11.8113815632272","8.67314747541801","11.5735394179982","12.4192058991301","10.5750780286314","10.9651512530835","14.5439901138235","9.05503600026345","8.12904303268217","8.15403068276816","","",
"Bangladesh","BGD","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.92077834260667","1.76809530597517","1.93453580929271","2.08714485486337","2.19397856250239","2.00285333295384","1.58018516561577","1.30275430098069","1.46253882228732","1.69583864707757","1.709011553251","1.98452235088433","2.15795645684671","2.56866321186144","2.33594117122002","2.37941364004409","","",
"Bulgaria","BGR","Net investment in nonfinancial assets (% of GDP)","GC.NFN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.281996712975814","0.711127487103906","1.07918326693227","1.02174640347942","0.307077625570776","0.576400390949831","0.358632193494579","0.950244026787184","2.57780126367652","3.48067171471427","3.28725857389411","3.32556339631232","2.75037419171631","2.5956233651569","2.74755909055334","2.65392810443506","2.96164910718144","3.67254821631161","3.63677310018844","3.00912505018093","3.13894368561199","2.33731101177578","2.02539236766276","1.85841514375303","1.96035030326186","1.78954267108626","1.51271858068629","","",
