"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.223107119071529","2.05625942509703","0.186968480153468","17.0617062782751","21.1833962690899","-3.8585978278079","-1.65589075834803","-5.87501386157071","-0.418843737439976","6.12113532486145","12.7890948077807","5.0192415442891","26.8758451396163","-6.82872717296655","-13.9016584230434","17.1280575539568","7.90491984521834","-4.74304336926546","-8.91559037641447","9.08677166142101","-18.0111087374493","0.687830687830688","-0.424770847306058","7.81257303108204","19.1454864154251","-12.4156931893322","8.76876836182646","9.45828357579591","-1.06909055624741","0.792699282397637","3.24575920562681","",
"Afghanistan","AFG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.0131512243609448","0.0245752714393039","0.00940111467749321","0.0155769236960059","","","0.00156521738449906","-0.00812641060285658","","0.0324504958728158","0.247135743279599","0.005174215982803","","","","","","","","","","","","","","","","","","","","","1.23299102251609","1.28001876304193","3.57581613520808","4.36453524429585","3.41400444390947","1.93570303554968","0.399170428515259","0.451055983077692","1.20312510873944","0.293038432389243","0.285441075824333","0.234965140617877","0.209790107431935","0.849679315295404","0.491377113687127","0.273178792042567","",
"Angola","AGO","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.630975103981031","0.88370687168445","2.08648507257444","1.80366249575565","1.09500567621391","3.68038359532726","3.30879389182255","1.47206684886135","1.49385627947356","1.96057306398349","-2.98162799825608","6.26663053571429","3.46608752793541","5.2368632542517","3.83703655802979","8.52948883994992","2.39899396705538","5.38231807584834","17.1215906483088","40.1672509619126","9.62386631013722","24.0091170615715","11.4061900735364","20.0810136409832","9.32924138405768","-3.52665547915197","-0.0720010214346084","-1.36876162792796","1.89631505074079","3.13666213317054","-3.85111046359565","-2.70487471740391","-5.38680268547724","-5.208122718437","1.31883240732284","7.98853257671494","-0.177522530030418","-6.05720920605905","",
"Albania","ALB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.06666159864896","4.89321210624299","2.81772280812469","2.92548596657615","2.81594061771928","2.1031528051092","1.76789579262462","1.28264133419298","4.10877595525929","5.28543275433979","3.10482707446756","3.17270817814522","4.75017450889019","3.25976919303765","3.65485220012029","6.10898006747451","9.7276961996335","11.1601865833762","9.13989822890841","8.13046205714976","7.45397244519001","9.81721109491013","8.69001139068363","8.68784526132212","8.78673446886916","7.83931552235194","",
"Andorra","AND","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.558907753619266","","0.245661042182372","-1.12555369163985","-3.24032948184491","1.51845265646165","0.0414065730860831","0.64735305105163","0.593318581614825","0.09757201577999","-0.493146579902982","1.78456200822624","2.95422080479875","1.54174625081908","1.59754996841139","0.488111826299358","0.672958957329319","0.0154949026590949","0.405209114683303","0.30066166130897","0.460468501169398","0.509446320898905","0.780049499886114","1.08958187530246","0.81652497452525","0.00220030387670741","0.610838382529472","1.06479282307763","1.49334373987413","0.198018265753674","0.51582396918928","0.897900838385146","0.823976113995002","1.7230703532234","2.21359974541202","3.89415450444069","4.95268329252603","5.00483787142435","4.31731535260092","4.2384789352235","3.33721237533719","1.83462075847182","1.84542551110065","1.7450658010633","1.62571571696384","1.48769095619954","1.61940179453682","1.21307705531756","",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","0.108351028072642","0.257273417071533","0.451274584371974","0.164536830325616","0.206818389048822","0.22395138271941","-0.0343377746365328","0.203892014116107","0.106393607881322","0.407195240980733","-0.544187526835552","0.324685539335671","0.128404884366882","0.52070706926589","0.0935487852947746","-0.228435309603761","0.0503179637301319","0.239162943469002","0.72147194906954","0.105319789259975","0.608195467069962","0.408474866706161","0.294815985875101","0.340485312002994","-1.16683578609984","-0.485281532912816","1.14589216998935","0.0867813662286139","3.42266271334159","6.76715211324682","6.03483106091215","5.76543753210343","5.5004397184535","1.60487460868527","0.447367363985376","3.03559489222365","2.03957474833406","2.55389515956191","2.50313391092345","2.74634535452345","2.38761932373249","2.69007310500282","2.7064552389122","",
"Argentina","ARG","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.284224297397444","0.377464477473511","0.206489502469194","0.190792478260042","0.0247388145324033","0.106009598269524","0.478175476645854","0.253605959289195","0.430419501184104","0.297462920183783","0.880955110053283","1.06384544018918","0.269252481027722","0.177920358938206","0.338845892416111","1.03939676921859","0.51742270994039","-0.0171007571834998","0.908825708058126","1.34139040897869","1.2988816648031","1.28557885422783","1.93671240172489","1.17980281165114","1.411953029158","2.17392758974997","2.55320340608332","3.12787793868196","2.43876896154487","8.46058217133806","3.66579059535379","0.806164134759348","2.19895819502207","1.29481086883944","2.5050175164097","2.64935441452167","2.3810651968205","2.25129153609907","2.68990286531228","1.20643922647566","2.67516171886537","2.04464008003071","2.80667189982932","1.77920553648531","0.962406650325519","1.97713461784426","0.587564212452168","1.80676395419622","",
"Armenia","ARM","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.188593628501326","0.0665937908053948","0.608291621442106","1.72442285714463","1.10020926856519","3.16805367491259","11.6611351911513","6.61290589672584","5.45043316560111","3.29806741743693","4.65949974895049","4.37657009672658","6.90990201303095","5.96010633958357","7.3073150316137","7.25233197719082","8.09234920917782","8.78869455248089","5.71603784546004","6.44066836705362","4.67672787765567","3.11193148125796","3.47902976165876","1.68947372519458","3.20605773747274","2.16493215872583","",
"American Samoa","ASM","Foreign direct investment, net inflows (% of GDP)","BX.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
